Chick,Diet,Time,weight
18,1,0,39
18,1,2,35
16,1,0,41
16,1,2,45
16,1,4,49
16,1,6,51
16,1,8,57
16,1,10,51
16,1,12,54
15,1,0,41
15,1,2,49
15,1,4,56
15,1,6,64
15,1,8,68
15,1,10,68
15,1,12,67
15,1,14,68
13,1,0,41
13,1,2,48
13,1,4,53
13,1,6,60
13,1,8,65
13,1,10,67
13,1,12,71
13,1,14,70
13,1,16,71
13,1,18,81
13,1,20,91
13,1,21,96
9,1,0,42
9,1,2,51
9,1,4,59
9,1,6,68
9,1,8,85
9,1,10,96
9,1,12,90
9,1,14,92
9,1,16,93
9,1,18,100
9,1,20,100
9,1,21,98
20,1,0,41
20,1,2,47
20,1,4,54
20,1,6,58
20,1,8,65
20,1,10,73
20,1,12,77
20,1,14,89
20,1,16,98
20,1,18,107
20,1,20,115
20,1,21,117
10,1,0,41
10,1,2,44
10,1,4,52
10,1,6,63
10,1,8,74
10,1,10,81
10,1,12,89
10,1,14,96
10,1,16,101
10,1,18,112
10,1,20,120
10,1,21,124
8,1,0,42
8,1,2,50
8,1,4,61
8,1,6,71
8,1,8,84
8,1,10,93
8,1,12,110
8,1,14,116
8,1,16,126
8,1,18,134
8,1,20,125
17,1,0,42
17,1,2,51
17,1,4,61
17,1,6,72
17,1,8,83
17,1,10,89
17,1,12,98
17,1,14,103
17,1,16,113
17,1,18,123
17,1,20,133
17,1,21,142
19,1,0,43
19,1,2,48
19,1,4,55
19,1,6,62
19,1,8,65
19,1,10,71
19,1,12,82
19,1,14,88
19,1,16,106
19,1,18,120
19,1,20,144
19,1,21,157
4,1,0,42
4,1,2,49
4,1,4,56
4,1,6,67
4,1,8,74
4,1,10,87
4,1,12,102
4,1,14,108
4,1,16,136
4,1,18,154
4,1,20,160
4,1,21,157
6,1,0,41
6,1,2,49
6,1,4,59
6,1,6,74
6,1,8,97
6,1,10,124
6,1,12,141
6,1,14,148
6,1,16,155
6,1,18,160
6,1,20,160
6,1,21,157
11,1,0,43
11,1,2,51
11,1,4,63
11,1,6,84
11,1,8,112
11,1,10,139
11,1,12,168
11,1,14,177
11,1,16,182
11,1,18,184
11,1,20,181
11,1,21,175
3,1,0,43
3,1,2,39
3,1,4,55
3,1,6,67
3,1,8,84
3,1,10,99
3,1,12,115
3,1,14,138
3,1,16,163
3,1,18,187
3,1,20,198
3,1,21,202
1,1,0,42
1,1,2,51
1,1,4,59
1,1,6,64
1,1,8,76
1,1,10,93
1,1,12,106
1,1,14,125
1,1,16,149
1,1,18,171
1,1,20,199
1,1,21,205
12,1,0,41
12,1,2,49
12,1,4,56
12,1,6,62
12,1,8,72
12,1,10,88
12,1,12,119
12,1,14,135
12,1,16,162
12,1,18,185
12,1,20,195
12,1,21,205
2,1,0,40
2,1,2,49
2,1,4,58
2,1,6,72
2,1,8,84
2,1,10,103
2,1,12,122
2,1,14,138
2,1,16,162
2,1,18,187
2,1,20,209
2,1,21,215
5,1,0,41
5,1,2,42
5,1,4,48
5,1,6,60
5,1,8,79
5,1,10,106
5,1,12,141
5,1,14,164
5,1,16,197
5,1,18,199
5,1,20,220
5,1,21,223
14,1,0,41
14,1,2,49
14,1,4,62
14,1,6,79
14,1,8,101
14,1,10,128
14,1,12,164
14,1,14,192
14,1,16,227
14,1,18,248
14,1,20,259
14,1,21,266
7,1,0,41
7,1,2,49
7,1,4,57
7,1,6,71
7,1,8,89
7,1,10,112
7,1,12,146
7,1,14,174
7,1,16,218
7,1,18,250
7,1,20,288
7,1,21,305
24,2,0,42
24,2,2,52
24,2,4,58
24,2,6,74
24,2,8,66
24,2,10,68
24,2,12,70
24,2,14,71
24,2,16,72
24,2,18,72
24,2,20,76
24,2,21,74
30,2,0,42
30,2,2,48
30,2,4,59
30,2,6,72
30,2,8,85
30,2,10,98
30,2,12,115
30,2,14,122
30,2,16,143
30,2,18,151
30,2,20,157
30,2,21,150
22,2,0,41
22,2,2,55
22,2,4,64
22,2,6,77
22,2,8,90
22,2,10,95
22,2,12,108
22,2,14,111
22,2,16,131
